0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-PEMD-theta_E,1-galaxy-mass-0-PEMD-gamma,1-galaxy-mass-0-PEMD-q,1-galaxy-mass-0-PEMD-phi,1-galaxy-mass-0-PEMD-center_x,1-galaxy-mass-0-PEMD-center_y,2-galaxy-light-0-IrregularGrid-lambda,probability_weights
0.034867,58.772679,1.569377,1.877012,0.651296,54.117856,-0.113774,-0.036501,17.802781,13739.5
0.006600,74.896310,1.547440,1.982306,0.794949,42.146340,-0.133390,0.050838,0.871035,13739.9
0.022061,89.624814,1.590187,1.927004,0.733815,50.498157,0.061082,0.052905,20.020514,13744.1
0.017868,40.480085,1.593867,2.002332,0.719036,39.117377,-0.079197,0.046385,1.241092,13746.5
0.005174,84.317038,1.547388,2.144130,0.743198,56.419614,0.045520,0.044833,34.118402,13746.6
0.027068,65.849853,1.541757,1.973346,0.669784,36.424165,-0.059178,-0.166017,51.202938,13747.9
0.008015,38.750702,1.507580,1.870094,0.745582,43.478088,0.051180,-0.085972,7.155335,13748.5
0.017610,78.033172,1.567932,2.063071,0.777491,75.299793,0.000879,-0.124743,36.815891,13749.2
0.016719,15.683568,1.512532,2.029064,0.770852,6.371098,-0.164282,-0.145988,7.999214,13749.8
0.038460,55.293405,1.664198,2.111230,0.934318,34.116243,-0.151762,-0.078260,9.383010,13751.4
0.019723,74.739154,1.479852,2.097009,0.664610,8.501637,-0.002334,-0.131236,41.008037,13754.7
0.018828,86.151199,1.481385,1.984149,0.875547,18.898730,-0.051276,0.102318,35.538867,13756.7
0.007541,63.926968,1.533791,2.071425,0.623726,21.505499,0.065771,-0.182825,7.683838,13759.7
0.037509,80.660310,1.521077,2.076355,0.725795,57.564515,0.027655,-0.088639,2.785610,13760.1
0.035895,89.941018,1.498054,2.176711,0.684331,19.183513,-0.133701,-0.144387,32.741105,13762.2
0.010969,70.921887,1.517570,1.837052,0.764965,23.204826,0.121722,0.043687,27.110553,13762.3
0.031582,71.718091,1.599410,2.058073,0.742001,9.224380,-0.048442,-0.150655,3.065577,13762.6
0.025225,67.022195,1.567439,1.978963,0.797823,44.486266,-0.047361,0.035373,0.600804,13764.3
