0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-PEMD-theta_E,1-galaxy-mass-0-PEMD-gamma,1-galaxy-mass-0-PEMD-q,1-galaxy-mass-0-PEMD-phi,1-galaxy-mass-0-PEMD-center_x,1-galaxy-mass-0-PEMD-center_y,2-galaxy-light-0-IrregularGrid-lambda,2-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-light-0-IrregularGrid-eta,probability_weights
0.029370,76.428459,1.473345,2.104309,0.895198,12.068011,0.010059,-0.122683,49427.721779,0.055566,1.989739,13442.3
0.011832,7.976053,1.435998,2.195283,0.727883,53.036869,0.118867,0.060384,46.256340,0.745224,0.993931,13443.9
0.019469,20.796357,1.459734,2.192587,0.853287,48.340610,-0.147611,0.001294,9614.726684,0.238138,1.015131,13444.3
0.037966,12.915684,1.643402,2.034552,0.820513,25.747181,0.003010,0.037593,170.950186,0.216062,0.695074,13453.8
0.008195,45.541002,1.677573,2.146632,0.663771,39.996645,-0.069056,-0.122668,389.604755,0.416848,0.405567,13461.1
0.024905,1.086794,1.503490,1.824593,0.862079,73.431914,0.070697,0.169883,352.679843,0.167087,1.264024,13468
0.022129,23.458333,1.705548,1.976925,0.762233,47.552736,0.084590,0.008497,4502.126833,0.769441,0.111789,13469.3
0.014159,6.270667,1.611782,1.886036,0.821898,79.614192,-0.113468,0.078102,20893.193369,0.154891,1.381958,13474.9
0.007773,79.739408,1.478086,1.816250,0.871408,78.169312,0.098900,0.047061,1625.170986,0.064197,0.824943,13478.2
0.027473,55.588802,1.469640,1.969133,0.963656,51.275795,0.073618,-0.161798,1623.876320,0.674428,0.765191,13480.3
0.019096,78.545702,1.547790,1.991238,0.672658,38.096273,0.024743,0.185539,25.422609,0.539629,0.809328,13489
0.018301,0.947651,1.696569,1.812877,0.955784,51.621151,0.024128,-0.018751,511.897695,0.527240,0.313329,13491.3
0.031442,75.002171,1.470852,2.016687,0.844508,63.060107,0.145793,-0.165225,21.168611,0.564965,1.210860,13491.7
0.033413,77.197103,1.687948,2.133676,0.835195,18.904295,0.073769,-0.100060,7325.266276,0.725451,0.715736,13499.3
0.033915,82.341939,1.594887,2.084588,0.699598,8.722617,0.145519,0.070147,195.878772,0.159116,1.268608,13502.1
0.022414,39.948483,1.624667,2.087106,0.932674,25.297104,-0.080697,-0.025353,255.047608,0.701589,0.134696,13507
0.031491,65.583804,1.474622,1.853513,0.886007,53.802560,-0.026697,-0.081841,1155.075044,0.342692,0.772086,13508.4
0.032871,0.392632,1.459955,2.131427,0.736438,67.730654,-0.028689,-0.144741,1387.587102,0.398401,1.110907,13509.2
0.009522,80.411754,1.686161,1.991446,0.944911,17.630467,0.081325,-0.156971,21710.460714,0.607957,0.780104,13510.3
0.022526,69.341594,1.576001,1.906680,0.814327,88.788902,0.170829,-0.168416,4.624329,0.830697,2.807047,13511.5
0.005140,60.245092,1.551677,2.101238,0.879690,78.717643,-0.131437,0.066230,108.808127,0.247102,1.101337,13513
0.026879,63.263285,1.635792,1.997860,0.790573,85.999078,0.110601,0.081404,62.996137,0.317612,1.012520,13519.6
0.006089,51.483189,1.534332,1.980734,0.635593,49.745219,0.190385,-0.121096,191.691674,0.897135,0.367930,13533.8
0.034770,8.987846,1.618337,1.853157,0.687513,21.558754,-0.113236,0.002805,293632.265112,0.677184,1.262118,13537.5
0.029337,11.368691,1.527969,2.069170,0.858956,63.728619,-0.077385,-0.015796,18647.968459,0.176855,1.948450,13544
0.031816,59.237819,1.682085,2.107284,0.705621,16.678846,0.034059,0.024995,312.945399,0.404930,0.252557,13547.2
0.035107,31.408979,1.549634,1.948692,0.780600,43.136262,0.177880,0.163123,49538.761162,0.616489,1.305873,13556.8
0.031489,53.909774,1.474990,2.186904,0.813153,23.742590,-0.043808,0.064068,341.381265,0.676762,1.831051,13558.1
0.031348,31.997380,1.617636,1.810377,0.776607,49.568896,0.020863,-0.154726,51.888243,0.851524,0.646614,13570.1
0.035098,48.287385,1.460591,2.125487,0.893530,72.838760,-0.021214,-0.188436,2640.368133,0.738476,0.656043,13571.7
0.034435,72.135310,1.638141,1.952760,0.741391,57.838987,0.078733,-0.145058,99741.182685,0.342537,0.191655,13574.5
0.034391,37.852900,1.534551,1.845200,0.620738,49.446952,0.177390,0.165385,374.882147,0.651440,0.989505,13575.3
0.011897,53.973518,1.632477,1.971592,0.725537,19.252349,-0.141612,-0.051761,49.812003,0.707745,0.640246,13576.8
0.023993,79.462169,1.471240,2.155255,0.953857,75.111627,0.125982,-0.013370,4646.357316,0.076004,0.941842,13577.3
0.016460,84.391887,1.505942,1.943490,0.791579,67.657102,0.080864,-0.151001,42138.945186,0.195367,1.708519,13583
0.008497,24.992947,1.670445,2.114290,0.842894,31.436160,-0.106842,-0.175212,26605.697422,0.272028,0.176740,13583.9
0.005019,88.563001,1.606442,2.064417,0.946665,64.297759,-0.182520,-0.085076,90556.604196,0.060311,1.441331,13593.2
