0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-SIE-theta_E,1-galaxy-mass-0-SIE-q,1-galaxy-mass-0-SIE-phi,1-galaxy-mass-0-SIE-center_x,1-galaxy-mass-0-SIE-center_y,3-galaxy-light-0-IrregularGrid-lambda,3-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-mass-0-PixelatedRegularGridPotential-lambda,2-galaxy-mass-0-PixelatedRegularGridPotential-l_corr,probability_weights
0.019001,-40.487035,0.919157,0.827094,60.980575,-0.085797,0.048703,50.696780,0.826311,0.161178,0.103539,0
0.045513,-53.979259,1.041634,0.866555,47.963974,-0.090619,0.096290,0.063776,0.798921,22078.228261,0.199224,0
0.018545,-57.784430,0.811894,0.995474,43.116171,0.017860,0.059434,3.603488,0.102452,15104.471019,0.056169,0
0.059301,-48.488536,1.014273,0.807681,51.596065,-0.079796,-0.063352,1.559894,0.047283,131047.655743,0.476795,0
0.072767,-44.594421,0.886553,0.899777,37.941041,-0.045895,-0.052966,73.992563,0.216107,3.526258,0.293858,0
0.070825,-47.322940,0.885130,0.976780,46.559350,-0.096194,-0.020414,121.885032,0.135760,0.354153,0.619649,0
0.065838,-59.889697,0.959799,0.813380,58.968227,0.085960,-0.010015,0.000256,0.349209,426.435399,0.040475,0
0.037821,-49.344099,1.038215,0.763444,49.631758,-0.024312,-0.048839,0.323709,0.082796,0.190218,0.453550,0
0.044982,-51.001670,1.016040,0.926170,66.617813,-0.050215,0.096000,0.000701,0.300326,114.359624,0.094464,0
0.058733,-47.994650,0.944239,0.801220,50.190835,-0.074258,-0.007953,51.482675,0.186467,0.002087,0.415391,0
0.007572,-49.371562,0.938451,0.948587,45.341990,-0.055990,-0.066088,0.580168,0.344005,1.014299,0.083894,0
0.020068,-52.839296,0.994729,0.712340,54.462814,0.064961,0.016020,8.783092,0.330000,0.028746,0.252312,0
0.075217,-46.051273,0.862256,0.967827,52.919812,0.035611,-0.070499,1.751832,0.811642,43.626080,0.077423,0
0.094723,-43.053815,1.015444,0.886288,35.607786,0.028558,0.082079,0.000944,0.568782,4726.805143,0.454308,0
0.003405,-46.850357,1.023200,0.834265,61.942708,-0.087970,0.016516,1.775032,0.307199,2.366906,0.095888,0
0.022914,-49.146984,1.001634,0.863145,53.092742,0.014445,0.091982,0.001819,0.620567,70.528917,0.428500,0
0.042412,-52.517491,0.933620,0.739730,56.886010,-0.012941,0.067699,18.349468,0.284593,0.366008,0.410120,0
0.094723,-51.273671,0.986199,0.961665,69.849668,0.071432,-0.098640,0.000221,0.264147,844.605648,0.290426,0
0.086669,-46.742321,0.839919,0.942495,66.295912,0.029351,-0.015382,0.389228,0.098324,59.577805,0.324493,0
0.072229,-57.894171,0.955369,0.798525,49.204404,0.057660,0.083027,0.303975,0.895252,4.096512,0.064266,0
0.042649,-38.956650,0.967757,0.976181,52.091448,0.009031,-0.022992,0.011413,0.114845,7.831947,0.966942,0
0.025963,-37.546620,0.919427,0.908717,31.937828,0.081214,0.045110,0.071474,0.777830,5.986432,0.406819,0
0.019145,-47.639007,1.047356,0.907169,31.714842,0.071617,0.086421,0.101064,0.582771,10151.100296,0.087942,0
0.058470,-56.686304,0.991193,0.889570,49.235170,-0.029747,0.096281,0.046866,0.322426,0.497502,0.243098,0
0.018289,-36.315618,0.994347,0.952756,33.828096,0.018886,0.015398,0.480190,0.052655,11086.234713,0.363366,0
0.055686,-57.186105,0.882723,0.934240,41.530092,-0.094263,-0.087616,8.206395,0.220239,14.422762,0.070467,0
